Season,Name,Team,K%+,BB%+,AVG+,SLG+,NameASCII,PlayerId,MLBAMID
2017,"César Puello","- - -",144.49651337656636,121.77424473259244,80.35367065106196,47.89310937508137,"Cesar Puello",7216,527049
2020,"Albert Almora Jr.","CHC",114.55750174851967,95.1668416620838,67.62364739488515,47.481827864104446,"Albert Almora Jr.",14109,546991
2020,"Harold Ramírez","MIA",78.68596054779078,98.05068449904101,81.14837719845569,47.481827864104446,"Harold Ramirez",14387,623912
2020,"Justin Williams","STL",144.25759484251805,179.75958932679933,81.14837719845569,47.481827864104446,"Justin Williams",15490,642211
2017,"Pedro Severino","WSN",153.5898262611625,71.70637656109086,65.98036586895884,47.32070550759674,"Pedro Severino",14523,600474
2016,"Rick Porcello","BOS",96.81275503311146,0,77.68550463035903,47.185535880246974,"Rick Porcello",2717,519144
2016,"Danny Duffy","KCR",80.677295538217,0,77.68550463035903,47.185535880246974,"Danny Duffy",3542,518633
2016,"Justin Verlander","DET",193.62551006622292,0,77.68550463035903,47.185535880246974,"Justin Verlander",8700,434378
2016,"Doug Fister","HOU",69.15196746588207,0,77.68550463035903,47.185535880246974,"Doug Fister",9425,450729
2016,"Jemile Weeks","SDP",119.71649918948539,60.90722157928553,53.74966809930603,47.01980014810332,"Jemile Weeks",2498,457789
2016,"Max Scherzer","WSN",172.02959110435208,27.229110428858476,71.30057985749947,47.019800148103315,"Max Scherzer",3137,453286
2016,"Jake Esch","MIA",194.96687017822148,0,76.78524014186574,47.019800148103315,"Jake Esch",12756,605222
2016,"Tyler Anderson","COL",127.65687884236281,110.2130693279621,43.877279971372936,47.019800148103315,"Tyler Anderson",12880,542881
2016,"Rob Whalen","ATL",132.93195658521125,0,76.78524014186574,47.019800148103315,"Rob Whalen",14165,547007
2020,"Bryan Holaday","BAL",114.799152516178,66.9682888544113,66.43304819818762,46.725045988636495,"Bryan Holaday",11287,592407
2017,"Clayton Kershaw","LAD",104.90966101680164,75.35246335417021,70.28928761541063,46.67688639904747,"Clayton Kershaw",2036,477132
2017,"Jhonny Peralta","STL",106.71844828392113,76.65164368017669,77.95458019302278,46.59044770867133,"Jhonny Peralta",1738,425509
2017,"Ubaldo Jiménez","BAL",281.7682013191112,0,78.05785148960305,46.52473482150762,"Ubaldo Jimenez",3374,434622
2017,"Andrew Cashner","TEX",134.1753336260432,0,78.05785148960305,46.52473482150762,"Andrew Cashner",8782,488768
2017,"Sam Gaviglio","- - -",187.84546754607416,0,78.05785148960305,46.52473482150762,"Sam Gaviglio",12778,543208
2017,"Blake Swihart","BOS",201.2630006738716,339.22825318365034,78.05785148960305,46.52473482150762,"Blake Swihart",13176,596119
2017,"Nolan Fontana","LAA",163.34388437347744,154.86507177003853,19.514462872400763,46.52473482150762,"Nolan Fontana",13267,545337
2017,"José Berríos","MIN",187.84546754607416,0,78.05785148960305,46.52473482150762,"Jose Berrios",14168,621244
2017,"Luis Severino","NYY",93.92273377303708,0,78.05785148960305,46.52473482150762,"Luis Severino",15890,622663
2017,"Daniel Gossett","OAK",268.35066772170006,0,78.05785148960305,46.52473482150762,"Daniel Gossett",16164,605254
2017,"Luis Torrens","SDP",102.76153842345126,95.95241732468261,62.22538572866738,46.487142988152705,"Luis Torrens",15905,620443
2019,"AJ Reed","CHW",187.4389982999904,96.01727257024446,53.74194624958659,46.47775945877527,"AJ Reed",16246,607223
2016,"Caleb Joseph","BAL",96.12613961186558,61.902774916694746,67.68055318228491,46.4706032896467,"Caleb Joseph",7087,543376
2018,"Dan Straily","MIA",204.79302288117617,207.30662388334827,63.56106944342195,46.403000575186766,"Dan Straily",9460,573185
2018,"Joe Musgrove","PIT",158.9070670230265,0,63.56106944342195,46.403000575186766,"Joe Musgrove",12970,605397
2019,"Anthony Bemboom","- - -",164.00912348906175,21.00377824346736,51.088022997464165,46.28649305712839,"Anthony Bemboom",13854,621532
2020,"Jose Barrero","CIN",165.47194711434153,15.861139917494786,78.7260372777989,46.06445969099002,"Jose Barrero",23378,676480
2016,"Clayton Kershaw","LAD",116.9801221069329,23.144744616733906,66.7697738527881,45.997630365010686,"Clayton Kershaw",2036,477132
2019,"Erik Kratz","- - -",117.80753197216896,42.59173019883016,39.69810475429069,45.90539201327004,"Erik Kratz",4403,456124
2017,"T.J. McFarland","ARI",285.67707698860073,0,76.5372244539146,45.74334881744523,"T.J. McFarland",3237,519008
2017,"Wade LeBlanc","PIT",285.67707698860073,0,76.5372244539146,45.74334881744523,"Wade LeBlanc",5221,453281
2017,"Kristopher Negrón","ARI",107.51287814474951,143.41275312218173,61.22977956313168,45.74334881744523,"Kristopher Negron",5306,502117
2017,"Micah Johnson","ATL",173.13762211434295,0,76.5372244539146,45.74334881744523,"Micah Johnson",13809,608672
2017,"Brandon Woodruff","MIL",79.35474329052568,92.62073606723645,76.5372244539146,45.74334881744523,"Brandon Woodruff",16162,605540
2018,"Clayton Richard","SDP",218.10773946016488,43.69698428759831,37.53129818882881,45.66644491916837,"Clayton Richard",3551,453385
2020,"Phillip Ervin","- - -",105.11466787438675,172.03549854245577,60.97709254413858,45.51037198052419,"Phillip Ervin",14738,640447
2019,"Skye Bolt","OAK",119.27936239550021,106.9283252823216,39.41076068812553,45.44492048087784,"Skye Bolt",17723,621450
2019,"Jake Fraley","SEA",149.34164084371702,0,59.11614103218829,45.44492048087784,"Jake Fraley",19260,641584
2016,"Kenta Maeda","LAD",118.1617392951694,17.533897261580652,47.14883145725594,45.369982566050716,"Kenta Maeda",18498,628317
2017,"Eric Fryer","STL",103.25677439639331,147.3004477749519,59.28939904699523,45.099076163592436,"Eric Fryer",8145,518700
2017,"Shane Robinson","LAA",67.08766657821475,101.76847536144567,75.53985624249108,45.023936901527655,"Shane Robinson",4249,453203
2016,"Jon Gray","COL",265.8639136578397,42.08135342779356,57.1804978962987,45.018957423540044,"Jon Gray",14916,592351
2018,"Pablo López","MIA",205.99064274624257,61.904060888385416,73.88974349398109,44.95290682968863,"Pablo Lopez",17085,641154
2019,"Noah Syndergaard","NYM",311.62338481195144,49.073079955747424,35.79460439232485,44.93643572969811,"Noah Syndergaard",11762,592789
2019,"Jesus Tinoco","COL",304.99309985350965,0,77.5549764418871,44.93643572969811,"Jesus Tinoco",16300,622786
